Book	Chapter	Verse	Hebrew
Psalms	91	1	
Psalms	92	1	
Psalms	93	1	
Psalms	94	1	
Psalms	95	1	
Psalms	96	1	
Psalms	97	1	
Psalms	98	1	
Psalms	99	1	
Psalms	100	1	
Psalms	101	1	
Psalms	102	1	
Psalms	103	1	
Psalms	104	1	
Psalms	105	1	
Psalms	106	1	
Psalms	107	1	
Psalms	108	1	
Psalms	109	1	
Psalms	110	1	
Psalms	111	1	
Psalms	112	1	
Psalms	113	1	
Psalms	114	1	
Psalms	115	1	
Psalms	116	1	
Psalms	117	1	
Psalms	118	1	
Psalms	119	1	
Psalms	120	1	
Psalms	121	1	
Psalms	122	1	
Psalms	123	1	
Psalms	124	1	
Psalms	125	1	
Psalms	126	1	
Psalms	127	1	
Psalms	128	1	
Psalms	129	1	
Psalms	130	1	
Psalms	131	1	
Psalms	132	1	
Psalms	133	1	
Psalms	134	1	
Psalms	135	1	
Psalms	136	1	
Psalms	137	1	
Psalms	138	1	
Psalms	139	1	
Psalms	140	1	
Psalms	141	1	
Psalms	142	1	
Psalms	143	1	
Psalms	144	1	
Psalms	145	1	
Psalms	146	1	
Psalms	147	1	
Psalms	148	1	
Psalms	149	1	
Psalms	150	1	
Proverbs	1	1	
Proverbs	2	1	
Proverbs	3	1	
Proverbs	4	1	
Proverbs	5	1	
Proverbs	6	1	
Proverbs	7	1	
Proverbs	8	1	
Proverbs	9	1	
Proverbs	10	1	
Proverbs	11	1	
Proverbs	12	1	
Proverbs	13	1	
Proverbs	14	1	
Proverbs	15	1	
Proverbs	16	1	
Proverbs	17	1	
Proverbs	18	1	
Proverbs	19	1	
Proverbs	20	1	
Proverbs	21	1	
Proverbs	22	1	
Proverbs	23	1	
Proverbs	24	1	
Proverbs	25	1	
Proverbs	26	1	
Proverbs	27	1	
Proverbs	28	1	
Proverbs	29	1	
Proverbs	30	1	
Proverbs	31	1	
Job	1	1	
Job	2	1	
Job	3	1	
Job	4	1	
Job	5	1	
Job	6	1	
Job	7	1	
Job	8	1	
Job	9	1	
Job	10	1	
Job	11	1	
Job	12	1	
Job	13	1	
Job	14	1	
Job	15	1	
Job	16	1	
Job	17	1	
Job	18	1	
