word,j_count,e_count,p_count,total_count,j_rate_per_10k,e_rate_per_10k,p_rate_per_10k,j_share,e_share,p_share,j_expected,e_expected,p_expected,j_log2_enrichment,e_log2_enrichment,p_log2_enrichment,j_woe_bits,e_woe_bits,p_woe_bits,j_signed_info_bits,e_signed_info_bits,p_signed_info_bits,j_vs_e_woe_bits,j_vs_e_signed_info_bits,j_vs_p_woe_bits,j_vs_p_signed_info_bits,e_vs_p_woe_bits,e_vs_p_signed_info_bits,characteristic_source,characteristic_info_bits,global_surprise_bits,g2,p_value,q_value,significant_fdr_0_05,suspected_extraction_fragment,headline_reliable
set,14,56,61,131,5.736764465,23.18072688,9.194778572,0.106870229,0.427480916,0.465648855,27.82256492,27.54210471,75.63533036,-0.9566280737,1.020186508,-0.3148994332,-1.12879586,1.493240579,-0.6478814664,-7.349981555,22.52603538,-4.761936227,-1.979334505,-19.77327802,-0.6422465914,-2.009178868,1.337087913,17.1852327,E,22.52603538,24.53521425,34.01302917,4.113055411e-08,8.803166358e-07,True,False,True
yesterday,0,10,0,10,0,4.139415515,0,0,1,0,2.123859918,2.102450741,5.773689341,-2.288322475,2.118611562,-3.731127345,-2.501698276,6.302225846,-4.842705218,-3.444393242,22.49856095,-12.42529277,-4.407531039,-10.07326818,1.442786185,0,5.850317223,19.05416771,E,22.49856095,22.49856095,31.18962818,1.687556393e-07,3.29993982e-06,True,False,True
moses,48,178,351,577,19.66890674,73.68159616,52.90766031,0.08318890815,0.308492201,0.6083188908,122.5467173,121.3114078,333.141875,-1.341020826,0.55346321,0.07364234089,-1.563412791,0.7513515124,0.1848464409,-51.01597461,21.99069544,1.645792365,-1.902312517,-58.35256864,-1.419494661,-38.00766557,0.4828178562,8.982386397,E,21.99069544,59.99836101,83.17538954,8.683476765e-19,6.440744318e-17,True,False,True
would,26,49,36,111,10.65399115,20.28313602,5.426426698,0.2342342342,0.4414414414,0.3243243243,23.57484509,23.33720323,64.08795168,0.1493787439,1.065431524,-0.8315220214,0.2010286957,1.574826587,-1.500117614,0.2230701282,21.4561711,-20.81588244,-0.9174437941,-5.340292629,0.9816368396,4.700003967,1.899080634,25.93310494,E,21.4561711,26.15617507,36.260158,1.337231916e-08,3.072381699e-07,True,False,True
servants,30,38,10,78,12.29306671,15.72977896,1.507340749,0.3846153846,0.4871794872,0.1282051282,16.56610736,16.39911578,45.03477686,0.8530938629,1.20375968,-2.128130922,1.222612248,1.837882662,-3.157609427,8.613816809,21.15245043,-49.32171802,-0.3511620144,-0.7402153722,2.98276319,28.90948297,3.333925205,41.44811659,E,21.15245043,50.0619334,69.40057597,8.508566689e-16,4.753747259e-14,True,False,True
father-in-law,3,14,0,17,1.229306671,5.79518172,0,0.1764705882,0.8235294118,0,3.61056186,3.574166261,9.815271879,-0.166858963,1.898383725,-4.417018755,-0.1598933409,3.960725791,-5.579878827,-0.09885708986,21.09054263,-21.12299771,-2.065901321,-5.651694174,4.250318465,5.684149248,6.316219786,26.67583479,E,21.09054263,26.77469188,37.11760438,8.70992908e-09,2.08167305e-07,True,False,True
bad,19,33,12,64,7.785608917,13.6600712,1.808808899,0.296875,0.515625,0.1875,13.59270347,13.45568475,36.95161178,0.4872186979,1.282522284,-1.597132201,0.6687922512,1.999599501,-2.521764679,1.813331809,20.8465577,-29.56315308,-0.7961516828,-2.856042218,2.085194876,11.5726376,2.881346559,30.60586349,E,20.8465577,32.4191953,44.94254764,1.741204492e-10,5.312526047e-09,True,False,True
jethro,0,9,0,9,0,3.725473963,0,0,1,0,1.911473926,1.892205667,5.196320407,-2.157077942,2.105466186,-3.599882812,-2.357292423,6.157776195,-4.698285595,-3.099953918,20.24870486,-11.18276349,-4.263081388,-9.065941363,1.442786185,0,5.705867573,17.14875094,E,20.24870486,20.24870486,28.07066536,8.026615607e-07,1.343599235e-05,True,False,True
boys,1,11,0,12,0.4097688903,4.553357066,0,0.08333333333,0.9166666667,0,2.548631901,2.52294089,6.928427209,-0.9346855209,2.018530549,-3.962452891,-1.047937134,4.848551724,-5.094303415,-1.058269843,20.12313791,-14.91035132,-2.953813698,-7.107502999,3.027807802,1.894716416,5.981621501,20.95958448,E,20.12313791,22.01785432,30.52322729,2.354861714e-07,4.373817732e-06,True,False,True
angel,8,18,0,26,3.278151123,7.450947926,0,0.3076923077,0.6923076923,0,5.522035786,5.466371928,15.01159229,0.5413426083,1.677949747,-4.988925103,0.7689740777,3.032249777,-6.178783755,0.929041034,20.06881158,-32.3057612,-1.137209156,-2.92078171,5.530722031,15.15773133,6.667931187,34.29750188,E,20.06881158,35.22654291,48.8343578,2.487447599e-11,8.360155915e-10,True,False,True
